,track,artist,peak_pos,last_week,weeks_on_chart,chart_pos,isNew,chart_week,chart
55071,Breathless,Taylor Swift,72,0,1,72,True,2010-02-13 00:00:00,hot-100
62040,A Milli,Lil Wayne,6,30,23,41,False,2008-10-11 00:00:00,hot-100
27092,All Day,"Kanye West Featuring Theophilus London, Allan Kingdom & Paul McCartney",15,91,15,93,False,2015-06-27 00:00:00,hot-100
36066,Runnin' Outta Moonlight,Randy Houser,24,64,20,67,False,2013-10-05 00:00:00,hot-100
48469,Not Ready To Die,Avenged Sevenfold,70,0,1,70,True,2011-05-21 00:00:00,hot-100
25386,Plastic Bag,Drake & Future,78,78,2,87,False,2015-10-24 00:00:00,hot-100
4291,Carter Son,YoungBoy Never Broke Again,62,62,2,92,False,2019-11-02 00:00:00,hot-100
11050,Ratchet Happy Birthday,Drake,51,0,1,51,True,2018-07-14 00:00:00,hot-100
18492,Culture,Migos Featuring DJ Khaled,93,0,1,93,True,2017-02-18 00:00:00,hot-100
8992,Best Part,Daniel Caesar Featuring H.E.R.,75,83,19,93,False,2018-12-08 00:00:00,hot-100
19395,Fade,Kanye West,47,71,13,96,False,2016-12-17 00:00:00,hot-100
55093,Eight Second Ride,Jake Owen,70,88,13,94,False,2010-02-13 00:00:00,hot-100
30089,Handsome And Wealthy,Migos,79,88,8,90,False,2014-11-29 00:00:00,hot-100
65346,Who Knew,P!nk,9,41,36,47,False,2008-02-23 00:00:00,hot-100
40039,Stupid Boy,Cassadee Pope,40,0,1,40,True,2012-12-29 00:00:00,hot-100
18441,Blue Ain't Your Color,Keith Urban,24,36,21,42,False,2017-02-18 00:00:00,hot-100
392,Chicago Freestyle,Drake Featuring Giveon,14,93,12,93,False,2020-08-01 00:00:00,hot-100
17196,Call On Me,Starley,65,80,18,97,False,2017-05-20 00:00:00,hot-100
33677,Sanctified,Rick Ross Featuring Kanye West & Big Sean,78,0,1,78,True,2014-03-22 00:00:00,hot-100
4568,XXL,DaBaby,69,0,1,69,True,2019-10-12 00:00:00,hot-100
22597,Jimmy Choo,Fetty Wap,65,89,11,98,False,2016-05-07 00:00:00,hot-100
19082,Change,J. Cole,21,21,2,83,False,2017-01-07 00:00:00,hot-100
32599,Can't Remember To Forget You,Shakira Featuring Rihanna,15,93,19,100,False,2014-06-07 00:00:00,hot-100
30297,Hope You Get Lonely Tonight,Cole Swindell,50,87,20,98,False,2014-11-15 00:00:00,hot-100
72749,Savin' Me,Nickelback,19,42,28,50,False,2006-09-23 00:00:00,hot-100
24894,Hold My Hand,Jess Glynne,86,87,6,95,False,2015-11-28 00:00:00,hot-100
51587,Hope She Cheats On You (With A Basketball Player),Marsha Ambrosius,88,0,1,88,True,2010-10-16 00:00:00,hot-100
46751,MegaMan,Lil Wayne,52,0,1,52,True,2011-09-17 00:00:00,hot-100
4275,Make It Right,BTS Featuring Lauv,76,0,2,76,False,2019-11-02 00:00:00,hot-100
63696,Nine In The Afternoon,Panic! At The Disco,51,87,19,97,False,2008-06-21 00:00:00,hot-100
99,Be Kind,Marshmello & Halsey,29,88,15,100,False,2020-08-22 00:00:00,hot-100
56567,Small Town USA,Justin Moore,44,63,20,68,False,2009-10-31 00:00:00,hot-100
40099,Finally Found You,Enrique Iglesias Featuring Sammy Adams,24,92,14,100,False,2012-12-29 00:00:00,hot-100
43590,Sex Ain't Better Than Love,Trey Songz,80,86,6,91,False,2012-04-28 00:00:00,hot-100
5993,Big Ole Freak,Megan Thee Stallion,65,93,12,94,False,2019-07-06 00:00:00,hot-100
