track,artist,peak_pos,last_week,weeks_on_chart,chart_pos,isNew,chart_week,chart
WAP,Cardi B Featuring Megan Thee Stallion,1,0,1,1,True,2020-08-22 00:00:00,hot-100
Rockstar,DaBaby Featuring Roddy Ricch,1,2,17,2,False,2020-08-22 00:00:00,hot-100
Blinding Lights,The Weeknd,1,4,37,3,False,2020-08-22 00:00:00,hot-100
Whats Poppin,"Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne",2,3,27,4,False,2020-08-22 00:00:00,hot-100
Watermelon Sugar,Harry Styles,1,1,21,5,False,2020-08-22 00:00:00,hot-100
Roses,SAINt JHN,4,8,20,5,False,2020-08-15 00:00:00,hot-100
Cardigan,Taylor Swift,1,0,1,1,True,2020-08-08 00:00:00,hot-100
The 1,Taylor Swift,4,0,1,4,True,2020-08-08 00:00:00,hot-100
Popstar,DJ Khaled Featuring Drake,3,0,1,3,True,2020-08-01 00:00:00,hot-100
Come & Go,Juice WRLD x Marshmello,2,0,1,2,True,2020-07-25 00:00:00,hot-100
Wishing Well,Juice WRLD,5,0,1,5,True,2020-07-25 00:00:00,hot-100
Savage,Megan Thee Stallion Featuring Beyonce,1,4,17,4,False,2020-07-18 00:00:00,hot-100
Intentions,Justin Bieber Featuring Quavo,5,7,20,5,False,2020-07-04 00:00:00,hot-100
Trollz,6ix9ine & Nicki Minaj,1,0,1,1,True,2020-06-27 00:00:00,hot-100
The Bigger Picture,Lil Baby,3,0,1,3,True,2020-06-27 00:00:00,hot-100
Say So,Doja Cat Featuring Nicki Minaj,1,4,23,4,False,2020-06-20 00:00:00,hot-100
Rain On Me,Lady Gaga & Ariana Grande,1,1,2,5,False,2020-06-13 00:00:00,hot-100
Toosie Slide,Drake,1,6,7,5,False,2020-05-30 00:00:00,hot-100
Stuck With U,Ariana Grande & Justin Bieber,1,0,1,1,True,2020-05-23 00:00:00,hot-100
Gooba,6ix9ine,3,0,1,3,True,2020-05-23 00:00:00,hot-100
The Box,Roddy Ricch,1,5,22,5,False,2020-05-16 00:00:00,hot-100
The Scotts,"THE SCOTTS, Travis Scott & Kid Cudi",1,0,1,1,True,2020-05-09 00:00:00,hot-100
Don't Start Now,Dua Lipa,2,4,25,4,False,2020-05-02 00:00:00,hot-100
Life Is Good,Future Featuring Drake,2,5,13,5,False,2020-04-18 00:00:00,hot-100
Circles,Post Malone,1,5,31,4,False,2020-04-11 00:00:00,hot-100
Heartless,The Weeknd,1,16,18,4,False,2020-04-04 00:00:00,hot-100
Stupid Love,Lady Gaga,5,0,1,5,True,2020-03-14 00:00:00,hot-100
ON,BTS,4,0,1,4,True,2020-03-07 00:00:00,hot-100
Dance Monkey,Tones And I,4,5,20,4,False,2020-02-29 00:00:00,hot-100
Memories,Maroon 5,2,4,21,4,False,2020-02-22 00:00:00,hot-100
Someone You Loved,Lewis Capaldi,1,8,38,5,False,2020-02-08 00:00:00,hot-100
Godzilla,Eminem Featuring Juice WRLD,3,0,1,3,True,2020-02-01 00:00:00,hot-100
Lose You To Love Me,Selena Gomez,1,10,13,5,False,2020-01-25 00:00:00,hot-100
Yummy,Justin Bieber,2,0,1,2,True,2020-01-18 00:00:00,hot-100
"10,000 Hours",Dan + Shay & Justin Bieber,4,9,14,5,False,2020-01-18 00:00:00,hot-100
Roxanne,Arizona Zervas,4,6,9,5,False,2020-01-11 00:00:00,hot-100
All I Want For Christmas Is You,Mariah Carey,1,1,37,1,False,2020-01-04 00:00:00,hot-100
Rockin' Around The Christmas Tree,Brenda Lee,2,2,32,2,False,2020-01-04 00:00:00,hot-100
Jingle Bell Rock,Bobby Helms,3,9,30,3,False,2020-01-04 00:00:00,hot-100
A Holly Jolly Christmas,Burl Ives,4,6,15,4,False,2020-01-04 00:00:00,hot-100
Futsal Shuffle 2020,Lil Uzi Vert,5,0,1,5,True,2019-12-28 00:00:00,hot-100
Good As Hell,Lizzo,3,6,16,5,False,2019-12-21 00:00:00,hot-100
Senorita,Shawn Mendes & Camila Cabello,1,3,21,3,False,2019-11-23 00:00:00,hot-100
Truth Hurts,Lizzo,1,5,27,4,False,2019-11-16 00:00:00,hot-100
